name	id	currentVersionId	dataRefreshDate	lastModifiedDate	lastQueriedDate
CLM_Contract	0FbHu000002PZ60KAG	0FcHu00000KtPkWKAV	2026-03-31T18:02:39.000Z	2026-03-31T18:02:39.000Z	2026-03-31T18:02:41.000Z
CLM_ContractHistory	0FbHu000002PZ65KAG	0FcHu00000KtPklKAF	2026-03-31T18:02:39.000Z	2026-03-31T18:02:39.000Z	2026-03-31T17:55:25.000Z
CLM_Document_Clause	0FbHu000002PZ66KAG	0FcHu00000KtPkgKAF	2026-03-31T18:02:39.000Z	2026-03-31T18:02:39.000Z	
CLM_Document_Template	0FbHu000002PZ61KAG	0FcHu00000KtPkbKAF	2026-03-31T18:02:39.000Z	2026-03-31T18:02:39.000Z	
CLM_Sales_Contract_Line	0FbHu000002PZ67KAG	0FcHu00000KtPkqKAF	2026-03-31T18:02:39.000Z	2026-03-31T18:02:39.000Z	2026-03-31T17:55:25.000Z
