name	id	refreshDate	lastModifiedDate
Records_That_Need_My_Attention_Sales	0FKHu000002GydmOAC		2026-03-25T16:02:21.000Z
Sales_Operation	0FKHu000002GydnOAC	2026-03-31T18:02:37.000Z	2026-03-25T16:02:21.000Z
Contract_Admin	0FKHu000002GydgOAC	2026-03-31T18:02:37.000Z	2026-03-25T16:02:21.000Z
Contract_Stage_Insights	0FKHu000002GydiOAC	2026-03-31T18:02:25.000Z	2026-03-25T16:02:21.000Z
Contract_Line_Items_Embedded	0FKHu000002GydhOAC	2026-03-31T18:02:37.000Z	2026-03-25T16:02:21.000Z
Records_That_Need_My_Attention	0FKHu000002GydlOAC		2026-03-25T16:02:21.000Z
B2B_Sales_Home_Embedded	0FKHu000002GydfOAC		2026-03-25T16:02:21.000Z
Contracts_Account_Embedded	0FKHu000002GydjOAC	2026-03-31T18:02:37.000Z	2026-03-25T16:02:21.000Z
Contracts_Quote_Embedded	0FKHu000002GydkOAC	2026-03-31T18:02:37.000Z	2026-03-25T16:02:21.000Z
